"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\caleb\bootcamp\Project-3\server\schemas\resolvers.js", "JavaScript", 0, 131, 0, 0, 0, 4, 29, 164
"c:\Users\caleb\bootcamp\Project-3\server\schemas\typeDefs.js", "JavaScript", 0, 82, 0, 0, 0, 1, 18, 101
"c:\Users\caleb\bootcamp\Project-3\server\server.js", "JavaScript", 0, 33, 0, 0, 0, 3, 11, 47
"c:\Users\caleb\bootcamp\Project-3\server\utils\auth.js", "JavaScript", 0, 25, 0, 0, 0, 2, 8, 35
"c:\Users\caleb\bootcamp\Project-3\styling\login\login.css", "CSS", 0, 0, 78, 0, 0, 0, 11, 89
"c:\Users\caleb\bootcamp\Project-3\styling\login\login.html", "HTML", 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\caleb\bootcamp\Project-3\styling\navbar\nav.css", "CSS", 0, 0, 66, 0, 0, 0, 8, 74
"c:\Users\caleb\bootcamp\Project-3\styling\navbar\nav.html", "HTML", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\caleb\bootcamp\Project-3\styling\signup\signup.css", "CSS", 0, 0, 79, 0, 0, 0, 12, 91
"c:\Users\caleb\bootcamp\Project-3\styling\signup\signup.html", "HTML", 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\caleb\bootcamp\Project-3\styling\successpg\success.css", "CSS", 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\caleb\bootcamp\Project-3\styling\successpg\success.html", "HTML", 0, 0, 0, 21, 0, 0, 3, 24
"Total", "-", 9, 2270, 499, 121, 25, 294, 498, 3716
