Date : 2023-02-08 18:39:28
Directory : c:\Users\caleb\bootcamp\Project-3
Total : 60 files,  2924 codes, 294 comments, 498 blanks, all 3716 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\caleb\bootcamp\Project-3\client\src\pages\Signup.js               | JavaScript |         74 |          0 |          8 |         82 |
| c:\Users\caleb\bootcamp\Project-3\client\src\pages\Success.js              | JavaScript |         35 |          0 |          9 |         44 |
| c:\Users\caleb\bootcamp\Project-3\client\src\serviceWorker.js              | JavaScript |        100 |         31 |         14 |        145 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\GlobalState.js          | JavaScript |         20 |          0 |          6 |         26 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\actions.js              | JavaScript |         12 |          0 |          4 |         16 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\auth.js                 | JavaScript |         32 |          5 |          9 |         46 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\helpers.js              | JavaScript |         52 |          0 |          7 |         59 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\mutations.js            | JavaScript |         84 |          0 |          6 |         90 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\queries.js              | JavaScript |         99 |          0 |          8 |        107 |
| c:\Users\caleb\bootcamp\Project-3\client\src\utils\reducers.js             | JavaScript |         84 |          0 |         13 |         97 |
| c:\Users\caleb\bootcamp\Project-3\server\config\connection.js              | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\caleb\bootcamp\Project-3\server\config\seeds.js                   | JavaScript |        175 |          0 |         16 |        191 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Book.js                    | JavaScript |         32 |          0 |          5 |         37 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Club.js                    | JavaScript |         37 |          0 |          7 |         44 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Comment.js                 | JavaScript |         21 |          0 |          5 |         26 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Genre.js                   | JavaScript |         11 |          0 |          5 |         16 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Order.js                   | JavaScript |         16 |          0 |          5 |         21 |
| c:\Users\caleb\bootcamp\Project-3\server\models\Post.js                    | JavaScript |         16 |          0 |          5 |         21 |
| c:\Users\caleb\bootcamp\Project-3\server\models\User.js                    | JavaScript |         33 |          2 |          9 |         44 |
| c:\Users\caleb\bootcamp\Project-3\server\models\index.js                   | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\caleb\bootcamp\Project-3\server\schemas\index.js                  | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\caleb\bootcamp\Project-3\server\schemas\resolvers.js              | JavaScript |        131 |          4 |         29 |        164 |
| c:\Users\caleb\bootcamp\Project-3\server\schemas\typeDefs.js               | JavaScript |         82 |          1 |         18 |        101 |
| c:\Users\caleb\bootcamp\Project-3\server\server.js                         | JavaScript |         33 |          3 |         11 |         47 |
| c:\Users\caleb\bootcamp\Project-3\server\utils\auth.js                     | JavaScript |         25 |          2 |          8 |         35 |
| c:\Users\caleb\bootcamp\Project-3\styling\login\login.css                  | CSS        |         78 |          0 |         11 |         89 |
| c:\Users\caleb\bootcamp\Project-3\styling\login\login.html                 | HTML       |         28 |          0 |          3 |         31 |
| c:\Users\caleb\bootcamp\Project-3\styling\navbar\nav.css                   | CSS        |         66 |          0 |          8 |         74 |
| c:\Users\caleb\bootcamp\Project-3\styling\navbar\nav.html                  | HTML       |         22 |          0 |          3 |         25 |
| c:\Users\caleb\bootcamp\Project-3\styling\signup\signup.css                | CSS        |         79 |          0 |         12 |         91 |
| c:\Users\caleb\bootcamp\Project-3\styling\signup\signup.html               | HTML       |         30 |          0 |          3 |         33 |
| c:\Users\caleb\bootcamp\Project-3\styling\successpg\success.css            | CSS        |         38 |          0 |          4 |         42 |
| c:\Users\caleb\bootcamp\Project-3\styling\successpg\success.html           | HTML       |         21 |          0 |          3 |         24 |
| Total                                                                      |            |      2,924 |        294 |        498 |      3,716 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
